車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
e653-01,e653-02,e653-03,e653-04,e653-05,e653-06,e653-07,,,,,,,,2013/06/25,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-101編成として新潟車両センターに転属。
e653-15,e653-16,e653-17,e653-18,e653-19,e653-20,e653-21,,,,,,,,2013/07/26,nyujo,新潟へ転用のためKYに入場
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2013/08/02,toso,リラックマみどりの山手線ラッピング
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2013/08/15,toso,リラックマラッピング終了。みどりの山手線に戻る。
e653-08,e653-09,e653-10,e653-11,e653-12,e653-13,e653-14,,,,,,,,2013/08/28,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-102編成として新潟車両センターに転属。
e653-22,e653-23,e653-24,e653-25,e653-26,e653-27,e653-28,,,,,,,,2013/10/09,nyujo,新潟へ転用のためKYに入場
e653-15,e653-16,e653-17,e653-18,e653-19,e653-20,e653-21,,,,,,,,2013/10/21,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-103編成として新潟車両センターに転属。
e653-29,e653-30,e653-31,e653-32,e653-33,e653-34,e653-35,,,,,,,,2013/12/11,nyujo,新潟へ転用のためKYに入場
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2013/12/28,toso,みどりの山手線ラッピング終了。
kh40-2140,,,,,,,,,,,,,,2013/??/??,haisya,
e653-22,e653-23,e653-24,e653-25,e653-26,e653-27,e653-28,,,,,,,,2014/01/09,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-104編成として新潟車両センターに転属。
e233-1761,e233-1762,e233-1763,e233-1764,e233-1765,e233-1766,e233-1767,e233-1768,e233-1769,e233-1770,,,,,2014/02/23,other,夜間定期回送中に線路工事作業車と衝突。川崎寄り2両が大破。
e653-29,e653-30,e653-31,e653-32,e653-33,e653-34,e653-35,,,,,,,,2014/03/18,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-105編成として新潟車両センターに転属。
e653-36,e653-37,e653-38,e653-39,e653-40,e653-41,e653-42,,,,,,,,2014/03/19,nyujo,新潟へ転用のためKYに入場
e331-01,e331-02,e331-03,e331-04,e331-05,e331-06,e331-07,e331-08,e331-09,e331-10,e331-11,e331-12,e331-13,e331-14,2014/03/25,haikai,EF64-1031により牽引されNN廃車回送
e331-01,e331-02,e331-03,e331-04,e331-05,e331-06,e331-07,e331-08,e331-09,e331-10,e331-11,e331-12,e331-13,e331-14,2014/04/02,haisya,NNにて廃車。
e653-43,e653-44,e653-45,e653-46,e653-47,e653-48,e653-49,,,,,,,,2014/05/29,nyujo,新潟へ転用のためKYに入場
e653-36,e653-37,e653-38,e653-39,e653-40,e653-41,e653-42,,,,,,,,2014/06/19,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-106編成として新潟車両センターに転属。
e653-101,e653-102,e653-103,e653-104,,,,,,,,,,,2014/07/25,nyujo,新潟へ転用のためKYに入場
e653-105,e653-106,e653-107,e653-108,,,,,,,,,,,2014/08/28,nyujo,新潟へ転用のためKYに入場
e653-43,e653-44,e653-45,e653-46,e653-47,e653-48,e653-49,,,,,,,,2014/09/01,tenkai,1000番台に改番。1号車をグリーン車に改造し、U-107編成として新潟車両センターに転属。
kh40-2085,,,,,,,,,,,,,,2014/09/21,toso,只見ユネスコパークラッピング1代目
e653-113,e653-114,e653-115,e653-116,,,,,,,,,,,2014/10/03,nyujo,新潟へ転用のためKYに入場
e231-5144,e231-5145,e231-5146,e231-5147,e231-5148,e231-5149,e231-6014,e231-5151,e231-5152,e231-4614,e231-5154,,,,2014/10/11,toso,赤レンガ風ラッピング
e653-105,e653-106,e653-107,e653-108,,,,,,,,,,,2014/10/27,tenkai,1100番台に改番。H-202編成として新潟車両センターに転属。
e653-50,e653-51,e653-52,e653-53,e653-54,e653-55,e653-56,,,,,,,,2014/11/07,nyujo,新潟へ転用のためKYに入場
e653-101,e653-102,e653-103,e653-104,,,,,,,,,,,2014/12/01,tenkai,1100番台に改番。H-201編成として新潟車両センターに転属。
e501-53,,,,,,,,,,,,,,2014/12/05,kaizo,シングルアームパンタグラフ化
e501-58,,,,,,,,,,,,,,2014/12/24,kaizo,シングルアームパンタグラフ化
e501-43,,,,,,,,,,,,,,2014/12/25,kaizo,シングルアームパンタグラフ化
205-0214,205-0235,205-0236,205-0217,,,,,,,,,,,2014/12/25,haisya,復活することはなく同所にて廃車。
e653-109,e653-110,e653-111,e653-112,,,,,,,,,,,2014/12/26,nyujo,新潟へ転用のためKYに入場
